image,NV
ISIC_0028254,0.0
ISIC_0029224,1.0
ISIC_0030120,1.0
ISIC_0033717,0.0
ISIC_0030639,1.0
ISIC_0033025,1.0
ISIC_0032037,1.0
ISIC_0024910,0.0
ISIC_0029517,1.0
ISIC_0033945,0.0
ISIC_0032178,1.0
ISIC_0027440,1.0
ISIC_0030008,1.0
ISIC_0024881,0.0
ISIC_0025969,1.0
ISIC_0025077,1.0
ISIC_0033296,1.0
ISIC_0033484,1.0
ISIC_0026029,1.0
ISIC_0030100,1.0
ISIC_0026704,0.0
ISIC_0024786,0.0
ISIC_0028036,1.0
ISIC_0027727,0.0
ISIC_0032414,0.0
ISIC_0033228,1.0
ISIC_0028773,0.0
ISIC_0028230,1.0
ISIC_0032034,1.0
ISIC_0025295,1.0
ISIC_0033531,0.0
ISIC_0028268,1.0
ISIC_0031203,0.0
ISIC_0028692,1.0
ISIC_0032199,0.0
ISIC_0027094,0.0
ISIC_0033878,0.0
ISIC_0028816,0.0
ISIC_0031335,0.0
ISIC_0033159,1.0
ISIC_0030233,0.0
ISIC_0029345,0.0
ISIC_0030171,0.0
ISIC_0026004,1.0
ISIC_0025550,0.0
ISIC_0027609,0.0
ISIC_0027361,1.0
ISIC_0033272,0.0
ISIC_0029623,1.0
ISIC_0028531,1.0
ISIC_0030749,1.0
ISIC_0025879,0.0
ISIC_0024604,1.0
ISIC_0029753,1.0
ISIC_0034026,0.0
ISIC_0033667,1.0
ISIC_0024406,1.0
ISIC_0031078,0.0
ISIC_0028928,0.0
ISIC_0025253,1.0
ISIC_0031223,0.0
ISIC_0028004,1.0
ISIC_0026185,1.0
ISIC_0030339,0.0
ISIC_0027335,0.0
ISIC_0031931,0.0
ISIC_0024907,1.0
ISIC_0031864,1.0
ISIC_0025724,0.0
ISIC_0030910,0.0
ISIC_0030323,0.0
ISIC_0026562,1.0
ISIC_0029650,1.0
ISIC_0033836,1.0
ISIC_0024565,1.0
ISIC_0033301,0.0
ISIC_0025573,0.0
ISIC_0024335,1.0
ISIC_0032761,1.0
ISIC_0026394,1.0
ISIC_0025405,1.0
ISIC_0024312,0.0
ISIC_0032149,0.0
ISIC_0033813,0.0
ISIC_0031638,1.0
ISIC_0031799,0.0
ISIC_0034000,0.0
ISIC_0027514,1.0
ISIC_0026337,0.0
ISIC_0031770,0.0
ISIC_0030499,1.0
ISIC_0029660,0.0
ISIC_0030310,0.0
ISIC_0033987,0.0
ISIC_0026162,1.0
ISIC_0029676,0.0
ISIC_0033578,0.0
ISIC_0031007,0.0
ISIC_0024589,1.0
ISIC_0030011,0.0
ISIC_0029024,1.0
ISIC_0032662,0.0
ISIC_0032857,0.0
ISIC_0029205,1.0
ISIC_0034002,0.0
ISIC_0026247,0.0
ISIC_0032526,0.0
ISIC_0029904,1.0
ISIC_0033415,0.0
ISIC_0025377,1.0
ISIC_0024478,1.0
ISIC_0031713,1.0
ISIC_0025426,1.0
ISIC_0030424,1.0
ISIC_0025967,1.0
ISIC_0024688,0.0
ISIC_0026117,0.0
ISIC_0027337,0.0
ISIC_0028696,0.0
ISIC_0027544,0.0
ISIC_0032995,1.0
ISIC_0024715,1.0
